Specification Number,Title,Responsible Group
36.747,Enhanced CRS and 4Rx SU-MIMO Interference Mitigation Performance Requirements for LTE ,R4
36.748,Technical report for 450MHz E-UTRA FDD Band for LTE PPDR and PMR/PAMR in Europe,R4
36.749,Evolved Universal Terrestrial Radio Access (E-UTRA); New AWS Band for LTE,R4
36.750,Study on Voice and Video Enhancement for LTE,R2
36.751,FDD operating band in the L-band for LTE,R4
36.752,Study of Narrow-Band Internet of Things (NB-IoT) Radio Frequency (RF) requirement to co-existence with Code Division Multiple Access (CDMA),R4
36.753,TDD operating band in the L-band for LTE,R4
36.754,Study on Uplink (UL) data compression in LTE,R2
36.755,US 600 MHz Band for LTE,R4
36.756,Study on architecture evolution for Evolved Universal Terrestrial Radio Access Network (E-UTRAN),R3
36.757,Study on LTE DL 8Rx antenna ports,R4
36.758,TDD 3300-3400 MHz band for LTE,R4
36.759,450 MHz Band for LTE in Region 3,R4
36.760,LTE Advanced high power TDD UE (power class 2) for Rel-15,R4
36.761,Extended-Band 12 new E-UTRA Band,R4
36.762,410 – 430 MHz Evolved Universal Terrestrial Radio Access (E-UTRA) Frequency Division Duplex (FDD) Band(s) for LTE Public Protection and Disaster Relief (PPDR) and Professional Mobile Radio (PMR) / Public Access Mobile Radio (PAMR) in Europe,R4
36.763,Study on Narrow-Band Internet of Things (NB-IoT) / enhanced Machine Type Communication (eMTC) support for Non-Terrestrial Networks (NTN),R1
36.764,LTE IoT NTN operating bands,R4
36.766,Study on interference cancellation receiver for LTE BS,R4
36.767,Rel-19 High power UE (power class 2) and high power operation (power class 1) for fixed-wireless/vehicle-mounted use cases in a single LTE band,R4
36.770,High Power UE (Power Class 2) for LTE FDD Band 14,R4
36.776,Evolved Universal Terrestrial Radio Access (E-UTRA); Study on LTE-based 5G terrestrial broadcast,R1
36.777,Enhanced LTE support for aerial vehicles,R2
36.779,Introduction of upper 700MHz A block E-UTRA band for the US,R4
36.783,Evolved Universal Terrestrial Radio Access (E-UTRA); Introduction of 1024 Quadrature Amplitude Modulation (QAM) in LTE downlink,R1
36.785,Vehicle to Vehicle (V2V) services based on LTE sidelink; User Equipment (UE) radio transmission and reception,R4
36.786,Vehicle-to-Everything (V2X) services based on LTE; User Equipment (UE) radio transmission and reception,R4
36.787,Vehicle-to-Everything (V2X) new band combinations,R4
36.788,Vehicle-to-Everything (V2X) Phase 2;  User Equipment (UE) radio transmission and reception,R4
36.789,Multi-node tests for Licence-Assisted Access (LAA),R4
36.790,LAA/eLAA for the “CBRS” 3.5GHz band in the United States,R4
36.791,Evolved Universal Terrestrial Radio Acces (E-UTRA) 2.4 GHz Time Division Duplex (TDD) Band for US,R4
36.792,Summary of regulatory requirements on unwanted emissions for transmission over broadcast bands in UHF spectrum,R4
36.800,Universal Terrestrial Radio Access (UTRA) and Evolved Universal Terrestrial Radio Access (E-UTRA); Extended UMTS / LTE 800 Work Item Technical Report,R4
36.801,Evolved Universal Terrestrial Radio Access (E-UTRA); Measurement Requirements,R4
36.802,Evolved Universal Terrestrial Radio Access (E-UTRA); NB-IOT; Technical Report for BS and UE radio transmission and reception,R4
36.803,Evolved Universal Terrestrial Radio Access (E-UTRA); User Equipment (UE) radio transmission and reception,R4
36.804,Evolved Universal Terrestrial Radio Access (E-UTRA); Base Station (BS) radio transmission and reception,R4
36.805,Evolved Universal Terrestrial Radio Access (E-UTRA); Study on minimization of drive-tests in next generation networks,R2
36.806,Evolved Universal Terrestrial Radio Access (E-UTRA); Relay architectures for E-UTRA (LTE-Advanced),R2
36.807,Evolved Universal Terrestrial Radio Access (E-UTRA); User Equipment (UE) radio transmission and reception,R4
36.808,Evolved Universal Terrestrial Radio Access (E-UTRA); Carrier Aggregation; Base Station (BS) radio transmission and reception,R4
36.809,Radio Frequency (RF) pattern matching location method in LTE,R4
36.810,Universal Terrestrial Radio Access (UTRA) and Evolved Universal Terrestrial Radio Access (E-UTRA); UMTS / LTE in 800 MHz for Europe,R4
36.811,Evolved Universal Terrestrial Radio Access (E-UTRA); Adding 2 GHz band LTE Frequency Division Duplex (FDD) (Band 23) for Ancillary Terrestrial Component (ATC) of Mobile Satellite Services (MSS)  in North America,R4
36.812,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE TDD 2600MHz in US work item Technical Report,R4
36.813,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE L-Band Technical Report,R4
36.814,Evolved Universal Terrestrial Radio Access (E-UTRA); Further advancements for E-UTRA physical layer aspects,R1
36.815,Further Advancements for E-UTRA;  LTE-Advanced feasibility studies in RAN WG4,R4
36.816,Evolved Universal Terrestrial Radio Access (E-UTRA); Study on signalling and procedure for interference avoidance for in-device coexistence,R2
36.817,Evolved Universal Terrestrial Radio Access (E-UTRA); Uplink multiple antenna transmission; Base Station (BS) radio transmission and reception,R4
36.818,Expanding 1900MHz,R4
36.819,Coordinated multi-point operation for LTE physical layer aspects,R1
36.820,LTE for 700 MHz digital dividend,R4
36.821,Extended UMTS/LTE 1500 work item technical report,R4
36.822,LTE Radio Access Network (RAN) enhancements for diverse data applications,R2
36.823,Evolved Universal Terrestrial Radio Access (E-UTRA); Carrier aggregation enhancements; User Equipment (UE) and Base Station (BS) radio transmission and reception,R4
36.824,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE coverage enhancements,R1
36.825,Feasibility study on possible additional configuration for LTE TDD,RP
36.826,Evolved Universal Terrestrial Radio Access (E-UTRA); Relay radio transmission and reception,R4
36.827,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE Advanced carrier aggregation band 41,R4
36.828,Evolved Universal Terrestrial Radio Access (E-UTRA); Further enhancements to LTE Time Division Duplex (TDD)  for Downlink-Uplink (DL-UL) interference management and traffic adaptation,R1
36.829,Enhanced performance requirement for LTE User Equipment (UE),R4
36.830,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced Carrier Aggregation (CA) in band 38,R4
36.831,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced Carrier Aggregation (CA) in band 7,R4
36.832,LTE in the 1670-1675MHz Band for the United States,R4
36.833,Intra-band Non-contiguous CA for Band 4 for LTE,R4
36.833-1-03,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 3,R4
36.833-1-07,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 7,R4
36.833-1-08,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 8,R4
36.833-1-23,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 23,R4
36.833-1-27,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 27,R4
36.833-1-38,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 38,R4
36.833-1-39,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 39,R4
36.833-1-41,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 41,R4
36.833-1-42,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 42,R4
36.833-2-02,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 2,R4
36.833-2-03,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 3,R4
36.833-2-04,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 4,R4
36.833-2-07,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 7,R4
36.833-2-23,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 23,R4
36.833-2-25,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 25,R4
36.833-2-42,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 42,R4
36.833-4,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) for 2 uplinks (2UL); Framework,R4
36.833-4-04,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 4 for 2 uplinks (2UL),R4
36.833-5-40,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 40 for 3 downlinks (3DL),R4
36.833-5-41,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 41 for 3 downlinks (3DL),R4
36.833-5-42,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 42 for 3 downlinks (3DL),R4
36.833-6-41,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 41 for 3 downlinks (3DL),R4
36.833-6-42,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 42 for 3 downlinks (3DL),R4
36.833-7-42,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band contiguous Carrier Aggregation (CA) in Band 42 for 4 downlinks (4DL),R4
36.833-8-41,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced intra-band non-contiguous Carrier Aggregation (CA) in Band 41 for 4 downlinks (4DL),R4
36.834,LTE Advanced intra-band contiguous Carrier Aggregation in Band 3,R4
36.835,Intra-band contiguous CA in Band 1,R4
36.836,Evolved Universal Terrestrial Radio Access (E-UTRA); Study on mobile relay,R3
36.837,Public safety broadband high power User Equipment (UE) for band 14,R4
36.838,Intra-band contiguous CA in Band 27 for LTE,R4
36.839,Evolved Universal Terrestrial Radio Access (E-UTRA); Mobility enhancements in heterogeneous networks,R2
36.840,LTE 450 MHz in Brazil Work Item Technical Report,R4
36.841,Evolved Universal Terrestrial Radio Access (E-UTRA); Intra-band non-contiguous Carrier Aggregation (CA) for band 25 for LTE,R4
36.842,Study on Small Cell enhancements for E-UTRA and E-UTRAN; Higher layer aspects,R2
36.843,Study on LTE device  to device proximity services; Radio aspects,R1
36.844,Study on expansion of LTE in the 1670-1675 MHz Band for the United States to include 1670-1680 MHz Band,R4
36.845,Intra-band contiguous CA for Band 39 for LTE,R4
36.846,LTE in the US Wireless Communications Service (WCS) band,R4
36.847,Study on LTE Time Division Duplex (TDD) - Frequency Division Duplex (FDD) joint operation including Carrier Aggregation (CA),R1
36.848,Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Study on smart congestion mitigation,R2
36.849,Study on Advanced Wireless Services (AWS) extension band for LTE,R4
36.850,Inter-band carrier aggregation,R4
36.851,Inter-band carrier aggregation,R4
36.852-11,LTE Advanced inter-band Carrier Aggregation (CA) (2DL/1UL),R4
36.852-12,LTE Advanced inter-band Carrier Aggregation (CA) (2DL/1UL),R4
36.852-13,LTE Advanced inter-band Carrier Aggregation (CA) (2DL/1UL),R4
36.853,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced; LTE-Advanced 3 Band Carrier Aggregation (CA) (3DL/1UL),R4
36.853-1,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced; LTE-Advanced 3 Band Carrier Aggregation (CA) (3DL/1UL),R4
36.853-12,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced 3 Band Carrier Aggregation (CA) (3DL/1UL),R4
36.853-13,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE-Advanced 3 Band Carrier Aggregation (CA) (3DL/1UL),R4
36.854-13,LTE Advanced 4 Band Carrier Aggregation (CA) (4DL/1UL),R4
36.855,Feasibility of positioning enhancements for E-UTRA,R4
36.856,Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Study on RAN sharing enhancements,R3
36.857-13,LTE Advanced 5 Band Carrier Aggregation (CA) (5DL/1UL),R4
36.858,Evolved Universal Terrestrial Radio Access (E-UTRA); LTE 2.6 GHz FDD SDL band (2570-2620 MHz),R4
36.859,Study on Downlink Multiuser Superposition Transmission (MUST) for LTE,R1
36.860,LTE-Advanced dual uplink inter-band Carrier Aggregation (CA),R4
36.860-12,LTE-Advanced dual uplink inter-band Carrier Aggregation (CA),R4
36.860-13,LTE-Advanced dual uplink inter-band Carrier Aggregation (CA),R4
36.861,Technical Report for Study Item: Study on LTE FDD in the bands 1980-2010 MHz and 2170-2200 MHz,R4
36.862,Technical Report for 2 GHz Band in Region 1,R4
36.863,Study on Cell-specific Reference Signals (CRS) interference mitigation for homogenous deployments of LTE,R4
36.864,Intra-band contiguous Carrier Aggregation in band 23,R4
36.865,Intra-band non-contiguous Carrier Aggregation in band 23,R4
36.866,Study on Network-Assisted Interference Cancellation and Suppression (NAIC) for LTE,R1
36.867,Study on LTE DL 4 Rx antenna ports,R4
36.868,Evolved Universal Terrestrial Radio Access (E-UTRA); Study on group communication for E-UTRA,R2
36.869,Advanced Wireless Services (AWS) extension band for LTE,R4
36.870,Study on new Advanced Wireless Services (AWS)-3/4 Band for LTE,R4
36.871,Evolved Universal Terrestrial Radio Access (E-UTRA); Downlink Multiple Input Multiple Output (MIMO) enhancement for LTE-Advanced,R1
36.872,Small cell enhancements for E-UTRA and E-UTRAN - Physical layer aspects,R1
36.873,Study on 3D channel model for LTE,R1
36.874,Coordinated multi-point operation for LTE with non-ideal backhaul,R1
36.875,Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Extension of dual connectivity in E-UTRAN,R3
36.876,Study on further enhancements of small cell high layer aspects for LTE,R3
36.877,LTE Device to Device Proximity Services; User Equipment (UE) radio transmission and reception,R4
36.878,Study on performance enhancements for high speed scenario in LTE,R4
36.879-13,LTE Advanced 3DL/2UL inter-band Carrier Aggregation (CA),R4
36.880,Study on further enhancements of Minimization of Drive Tests (MDT) for E-UTRAN,R2
36.881,Study on latency reduction techniques for LTE,R2
36.882,Study on regulatory aspects for flexible duplex for E-UTRAN,RP
36.883,Evolved Universal Terrestrial Radio Access (E-UTRA); Introducing UL 64QAM,R4
36.884,Performance requirements of MMSE-IRC receiver for LTE BS,R4
36.885,Study on LTE-based V2X services,R1
36.886,Evolved Universal Terrestrial Radio Access (E-UTRA); Band 41 High Power UE (HPUE),R4
36.887,Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Study on energy saving enhancement for E-UTRAN,R3
36.888,Study on provision of low-cost Machine-Type Communications (MTC) User Equipments (UEs) based on LTE,R1
36.889,Feasibility Study on Licensed-Assisted Access to Unlicensed Spectrum,R1
36.890,Study on Support of single-cell point-to-multipoint transmission in LTE,R2
36.891,Study on Enhanced Multiuser Transmissions and Network Assisted Interference Cancellation for LTE,R1
36.892,Evolved Universal Terrestrial Radio Access (E-UTRA); Introduction of 1447-1467MHz Band for TD-LTE in China,R4
36.893,Evolved Universal Terrestrial Radio Access (E-UTRA); 700MHz band for Arab Region,R4
36.894,Evolved Universal Terrestrial Radio Access (E-UTRA); Study on measurement gap enhancement for LTE,R4
36.895,Evolved Universal Terrestrial Radio Access (E-UTRA); European 700 supplemental downlink band (738-758 MHz) in E-UTRA,R4
36.896,Study on Flexible eNB-ID and Cell-ID in E-UTRAN,R3
36.897,Study on Elevation Beamforming/Full-Dimension (FD) MIMO for LTE,R1
36.898,Network Assistance for Network Synchronization,R3
36.899-13,LTE Advanced inter-band Carrier Aggregation (CA) (3DL/3UL),R4
36.902,Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Self-configuring and self-optimizing network (SON) use cases and solutions,R3
36.903,Evolved Universal Terrestrial Radio Access (E-UTRA) and Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Derivation of test tolerances for Radio Resource Management (RRM) conformance tests,R5
36.904,Evolved Universal Terrestrial Radio Access (E-UTRA) and Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Derivation of test tolerances for User Equipment (UE) radio reception conformance tests,R5
36.905,Evolved Universal Terrestrial Radio Access (E-UTRA) and Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Derivation of test points for radio transmission and reception conformance test cases,R5
36.912,Feasibility study for Further Advancements for E-UTRA (LTE-Advanced),R1
36.913,Requirements for further advancements for Evolved Universal Terrestrial Radio Access (E-UTRA)  (LTE-Advanced),RP
36.921,Evolved Universal Terrestrial Radio Access (E-UTRA); FDD Home eNode B (HeNB) Radio Frequency (RF) requirements analysis,R4
36.922,Evolved Universal Terrestrial Radio Access (E-UTRA); TDD Home eNode B (HeNB) Radio Frequency (RF) requirements analysis,R4
36.927,Evolved Universal Terrestrial Radio Access (E-UTRA); Potential solutions for energy saving for E-UTRAN,R3
36.931,Evolved Universal Terrestrial Radio Access (E-UTRA); Radio Frequency (RF) requirements for LTE Pico Node B,R4
36.932,Scenarios and requirements for small cell enhancements for E-UTRA and E-UTRAN,RP
36.933,Study on Context Aware Service Delivery in RAN for LTE,R3
36.934,LTE Extended 1.5 GHz SDL band (1427 – 1518 MHz),R4
36.938,Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Improved network controlled mobility between E-UTRAN and 3GPP2/mobile WiMAX radio technologies,R2
36.942,Evolved Universal Terrestrial Radio Access (E-UTRA); Radio Frequency (RF) system scenarios,R4
36.956,Evolved Universal Terrestrial Radio Access (E-UTRA); Repeater planning guidelines and system analysis,R4
36.976,Overall description of LTE-based 5G broadcast,R1
36.978,Evolved Universal Terrestrial Radio Access (E-UTRA) User Equipment (UE) antenna test function definition for two-stage Multiple Input Multiple Output (MIMO) Over The Air (OTA) test method,R5
37.104,"NR, E-UTRA, UTRA and GSM/EDGE; Multi-Standard Radio (MSR) Base Station (BS) radio transmission and reception",R4
37.105,Active Antenna System (AAS) Base Station (BS) transmission and reception,R4
37.106,User Equipment (UE) requirements for shared spectrum channel access,R4
37.107,Base Station (BS) requirements and conformance tests for shared spectrum channel access,R4
37.113,"NR, E-UTRA, UTRA and GSM/EDGE; Multi-Standard Radio (MSR) Base Station (BS) Electromagnetic Compatibility (EMC)",R4
37.114,Active Antenna System (AAS) Base Station (BS) Electromagnetic Compatibility (EMC),R4
37.141,"NR, E-UTRA, UTRA and GSM/EDGE; Multi-Standard Radio (MSR) Base Station (BS) conformance testing",R4
37.142,Active Antenna System (AAS) Base Station (BS) transmission and reception,R4
37.144,"User Equipment (UE) and Mobile Station (MS) GSM, UTRA and E-UTRA over the air performance requirements",R4
37.145,"E-UTRA, UTRA, Active Antenna System (AAS) Base Station (BS): conformance testing",R4
37.145-1,Active Antenna System (AAS) Base Station (BS) conformance testing;  Part 1: conducted conformance testing,R4
37.145-2,Active Antenna System (AAS) Base Station (BS) conformance testing;  Part 2: radiated conformance testing,R4
37.171,Universal Terrestrial Radio Access (UTRA) and Evolved UTRA (E-UTRA); User Equipment (UE) performance requirements for Radio Access Technology (RAT) Independent Positioning Enhancements,R4
37.213,Physical layer procedures for shared spectrum channel access,R1
37.320,Radio measurement collection for Minimization of Drive Tests (MDT); Overall description; Stage 2,R2
37.324,Evolved Universal Terrestrial Radio Access (E-UTRA) and NR; Service Data Adaptation Protocol (SDAP) specification,R2
37.340,Evolved Universal Terrestrial Radio Access (E-UTRA) and NR; Multi-connectivity; Overall Description; Stage-2,R2
37.355,LTE Positioning Protocol (LPP),R2
37.460,Iuant interface: General aspects and principles,R3
37.461,Iuant interface: Layer 1,R3
37.462,Iuant interface: Signalling transport,R3
37.466,Iuant interface: Application part,R3
37.470,W1 interface; General aspects and principles,R3
37.471,W1 interface; Layer 1,R3
37.472,W1 interface; Signalling transport,R3
37.473,W1 interface; Application Protocol (W1AP),R3
37.480,E1 general aspects and principles,R3
37.481,E1 layer 1,R3
37.482,E1 signalling transport,R3
37.483,E1 Application Protocol (E1AP),R3
37.544,Universal Terrestrial Radio Access (UTRA) and Evolved UTRA (E-UTRA); User Equipment (UE) Over The Air (OTA) performance; Conformance testing,R5
37.571-1,User Equipment (UE) conformance specification for UE positioning; Part 1: Conformance test specification,R5
37.571-2,User Equipment (UE) conformance specification for UE positioning; Part 2: Protocol conformance,R5
37.571-3,User Equipment (UE) conformance specification for UE positioning; Part 3: Implementation Conformance Statement (ICS),R5
37.571-4,User Equipment (UE) conformance specification for UE positioning; Part 4: Test suites,R5
37.571-5,User Equipment (UE) conformance specification for UE positioning; Part 5: Test scenarios and assistance data,R5
37.579-1,Mission Critical (MC) services; Part 1: Common test environment,R5
37.579-2,Mission Critical (MC) services; Part 2: Mission Critical Push To Talk (MCPTT) User Equipment (UE) Protocol conformance specification,R5
37.579-4,Mission Critical (MC) services; Part 4: Test Applicability and Implementation Conformance Statement (ICS) proforma specification,R5
37.579-5,Mission Critical (MC) services; Part 5: Abstract test suite (ATS),R5
37.579-6,Mission Critical (MC) services; Part 6: Mission Critical Video (MCVideo) User Equipment (UE) Protocol conformance specification,R5
37.579-7,Mission Critical (MC) services; Part 7: Mission Critical Data (MCData) User Equipment (UE) Protocol conformance specification,R5
37.716-00-00,"Band combinations for Stand-Alone (SA) NR Supplementary UpLink (SUL), Non-Stand-Alone (NSA) NR SUL, NSA NR SUL with UL sharing from the UE perspective (ULSUP)",R4
37.716-11-11,E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) of 1 band  LTE (1 Down Link (DL) / 1 Up Link (UL)) and 1 NR band (1 DL / 1 UL),R4
37.716-21-11,E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) of 2 bands LTE inter-band Carrier aggregation (CA) (2 Down Link (DL) / 1 Up Link (UL)) and 1 NR band (1 DL / 1 UL),R4
37.716-21-21,"E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) of x bands (x=1, 2, 3, 4) LTE inter-band Carrier aggregation (CA) (x Down Link (DL) / 1 Up Link (UL)) and 2 NR bands NR inter-band CA (2 DL / 1 UL)",R4
37.716-31-11,E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) of 3 bands LTE inter-band Carrier aggregation (CA) (3 Down Link (DL) / 1 Up Link (UL)) and 1 NR band (1 DL / 1 UL),R4
37.716-33,E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) of 3 bands Down Link (DL) and 3 band Up Link (UL),R4
37.716-41-11,E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) of 4 bands LTE inter-band Carrier aggregation (CA) (4 Down Link (DL) / 1 Up Link (UL)) and 1 NR band (1 DL / 1 UL),R4
37.716-41-22,"Dual Connectivity (EN-DC) of LTE inter-band CA xDL/1UL bands (x=2,3,4) and NR FR1 1DL/1UL band and NR FR2 1DL/1UL band",R4
37.716-51-11,E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) of 5 bands LTE inter-band Carrier aggregation (CA) (5 Down Link (DL) / 1 Up Link (UL)) and 1 NR band (1 DL / 1 UL),R4
37.717-00-00,"Rel-17 band combinations for SA NR supplementary uplink (SUL), NSA NR SUL, NSA NR SUL with UL sharing from the UE perspective (ULSUP)",R4
37.717-11-11,Rel-17 Dual Connectivity (DC) of 1 LTE band (1DL/1UL) and 1 NR band (1DL/1UL),R4
37.717-11-21,"Rel-17 Dual Connectivity (DC) of x bands (x=1,2,3,4) LTE inter-band CA (xDL/1UL) and 2 bands NR inter-band CA (2DL/1UL)",R4
37.717-11-31,"Rel-17 Dual Connectivity (DC) of x bands (x=1,2,3) LTE inter-band CA (xDL/1UL) and 3 bands NR inter-band CA (3DL/1UL)",R4
37.717-11-41,"Rel-17 Dual Connectivity (DC) of x bands (x=1,2) LTE inter-band CA (xDL/1UL) and 4 bands NR inter-band CA (4DL/1UL)",R4
37.717-21-11,Rel-17 Dual Connectivity (DC) of 2 bands LTE inter-band CA (2DL/1UL) and 1 NR band (1DL/1UL),R4
37.717-21-22,"Rel-17 Dual Connectivity (DC) of x bands (x=2,3,4) LTE inter-band CA (xDL/1UL) and 1 NR FR1 band (1DL/1UL) and 1 NR FR2 band (1DL/1UL)",R4
37.717-31-11,Rel-17 Dual Connectivity (DC) of 3 bands LTE inter-band CA (3DL/1UL) and 1 NR band (1DL/1UL),R4
37.717-33,"Rel-17 Dual Connectivity (DC) of x bands (x=1,2) LTE inter-band CA (xDL/xUL) and y bands (y=3-x) NR inter-band CA (yDL/yUL)",R4
37.717-41-11,Rel-17 Dual Connectivity (DC) of 4 bands LTE inter-band CA (4DL/1UL) and 1 NR band (1DL/1UL),R4
37.717-51-11,Rel-17 Dual Connectivity (DC) of 5 bands LTE inter-band CA (5DL/1UL) and 1 NR band (1DL/1UL),R4
37.718-00-00,"Rel-18 SUL Band combinations for SA NR Supplementary uplink (SUL), NSA NR SUL, NSA NR SUL with UL sharing from the UE perspective (ULSUP)",R4
37.718-11-11,Rel-18 Dual Connectivity (DC) of 1 band LTE (1DL/1UL) and 1 NR band (1DL/1UL),R4
37.718-11-21,"Rel-18 DC of x bands (x=1,2,3,4) LTE inter-band CA (xDL/1UL) and 2 bands NR inter-band CA (2DL/1UL)",R4
37.718-21-11,Dual Connectivity of 2 bands LTE inter-band CA and 1 NR band,R4
37.719-11-10,Rel-19 Dual Connectivity of EN-DC and NE-DC configurations  with one or two NR Supplemental Uplink (SUL) band(s) and with/without UL sharing from the UE perspective (ULSUP),R4
37.719-11-11,Rel-19 Dual Connectivity of EN-DC and NE-DC configurations consisting of 2 different bands downlink (DL) with 2 different bands uplink (UL) (1 LTE band and 1 NR band),R4
37.719-21-11,"Rel-19 Dual Connectivity of EN-DC and NE-DC configurations consisting of 2 bands LTE inter-band CA (2DL/1UL) and 1 band NR (1DL/1UL), or consisting of 1 band LTE (1DL/1UL) and 2 bands NR inter-band CA (2DL/1UL)",R4
37.801,UMTS-LTE 3500 MHz Work Item Technical Repor,R4
37.802,Multi-standard radio Base Station (BS) Radio Frequency (RF) requirements for non-contiguous spectrum deployments,R4
37.803,Universal Mobile Telecommunications System (UMTS) and LTE; Mobility enhancements for Home Node B (HNB) and Home enhanced Node B (HeNB),R3
37.804,Study on UMTS/LTE in 900 MHz band and coexistence with 850 MHz band,R4
37.805,Study on HSPA and LTE Joint Operation,R3
37.806,Extending 850 MHz study Technical Report,R4
37.807,RF Requirements for PSBB B14 HPUE,R4
37.808,Passive Intermodulation (PIM) handling for Base Stations (BS),R4
37.809,Evolved Universal Terrestrial Radio Access  (E-UTRA) medium range and Multi-Standard Radio (MSR)  medium range / local area Base Station (BS) class requirements,R4
37.810,Study of Base Station (BS) specification structure,R4
37.811,New BS specification structure,R4
37.812,Radio Frequency (RF) requirements for Multi-band and Multi-standard radio (MB-MSR) Base Station (BS),R4
37.813,Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Study on LTE - High Rate Packet Data in 3GPP2 (HRPD) Inter-Radio-Access-Technology (RAT) self-configuring and self-optimizing network (SON) use cases and solutions,R3
37.814,Universal Terrestrial Radio Access (UTRA) and Evolved Universal Terrestrial Radio Access (E-UTRA); L-band for Supplemental Downlink,R4
37.815,Study on high power User Equipment (UE) (power class 2) for E-UTRA (Evolved Universal Terrestrial Radio Access) - NR Dual Connectivity (EN-DC) (1 LTE FDD band + 1 NR TDD band),R4
