Specification Number,Title,Responsible Group
09.04,Interworking between the Public Land Mobile Network (PLMN) and the Circuit Switched Public Data Network (CSPDN),C3
09.05,Interworking between the PLMN and the PSPDN for PAD Access,C3
09.06,Interworking between a Public Land Mobile Network (PLMN) and a Packet Switched Public Data Network/Intergrated Services digital Network (PSPDN/ISDN) for Support of Packet Switched Data Transmission Services,C3
09.07,General Requirements on Interworking between the Public Land Mobile Network (PLMN) and the Intergrated Services Digital Network (ISDN) or Public Switched Telephone Network (PSTN),C3
09.08,Application of the Base Station System Application Part (BSSAP) on the E-Interface,C1
09.09,Detailed Signalling Interworking within the PLMN and with the PSTN/ISDN,N4
09.10,Information Element Mapping between Mobile Station - Base Station System (MS - BSS) and Base Station System - Mobile-services Switching Centre (BSS - MCS) Signalling Procedures and the Mobile Application Part (MAP),C4
09.10dcs,Information Element Mapping between Mobile Station - Base Station System (MS - BSS) and Base Station System - Mobile-services Switching Centre (BSS - MCS) Signalling Procedures and the Mobile Application Part (MAP) (DCS 1800),C4
09.11,Signalling Interworking for Supplementary Services,C4
09.13,Signalling interworking between ISDN supplementary services Application Service Element (ASE) and Mobile Application Part (MAP) protocols,C4
09.16,General Packet Radio Service (GPRS); Serving GPRS Support Node (SGSN) - Visitors Location Register (VLR); Gs interface network service specification,C1
09.18,General Packet Radio Service (GPRS); Serving GPRS Support Node (SGSN) - Visitors Location Register (VLR); Gs interface layer 3 specification,C1
09.31,Location Services (LCS); Base Station System Application Part LCS Extension (BSSAP-LE),R6
09.60,General Packet Radio Service (GPRS); GPRS Tunnelling Protocol GPT) across the Gn and Gp Interface,C4
09.61,General Packet Radio Service (GPRS); Interworking between the Public Land Mobile Network (PLMN) supporting GPRS and Packet Data Networks (PDN),C3
09.78,CAMEL Application Part phase 2 (stage 3),C4
09.90,Interworking between Phase 1 Infrastructure and Phase 2 Mobile Stations (MS),C1
09.91,Interworking Aspects of the SIM/ME Interface Between Phase 1 and Phase 2,C6
09.94,Recommended infrastructure measures to overcome specific Mobile Station (MS) faults,C1
09.95,General Packet Radio Service (GPRS); Interworking between modified Public Land Mobile Network (PLMN) supporting GPRS and legacy GPRS mobiles,R6
10.00,Digital Cellular Telecommunication System Feature Description,S2
10.01,GSM features and releases,SMG3
10.02,Guidelines for the modification of the Mobile Application Part (MAP) in phase 2+,C4
10.03,"Short Message Service, Mobile Originated, Point-to-Point",SMG
10.04,Short Message Service. Cell Broadcast,SMG
10.05,Data MHS Access,SMG
